date,entry_price,exit_price,signal,gross_pnl,net_pnl,cum_pnl,running_max,drawdown
2015-01-09,8283.45,8286.3,-1,-2.85,-2.85342,-2.85342,-2.85342,0
2015-01-12,8271.1,8319.55,1,48.45,48.39186,45.53844,45.53844,0
2015-01-13,8318.05,8304.9,-1,13.15,13.16578,58.70422,58.70422,0
2015-01-14,8291.4,8273.05,-1,18.35,18.37202,77.07624,77.07624,0
2015-01-15,8403.55,8510.45,-1,-106.9,-107.0283,-29.95204,77.07624,-107.0283
2015-01-19,8561.25,8550.85,1,-10.4,-10.38752,-40.33956,77.07624,-117.4158
2015-01-20,8589,8689.9,1,100.9,100.7789,60.43936,77.07624,-16.63688
2015-01-21,8708.25,8731.3,-1,-23.05,-23.07766,37.3617,77.07624,-39.71454
2015-01-22,8736.45,8759.95,-1,-23.5,-23.5282,13.8335,77.07624,-63.24274
2015-01-23,8862.8,8834.9,1,-27.9,-27.86652,-14.03302,77.07624,-91.10926
2015-01-27,8854.5,8915.35,1,60.85,60.77698,46.74396,77.07624,-30.33228
2015-01-28,8915.8,8920.25,1,4.45,4.44466,51.18862,77.07624,-25.88762
2015-01-29,8877.45,8954.05,1,76.6,76.50808,127.6967,127.6967,0
2015-01-30,8941,8807.95,-1,133.05,133.2097,260.9064,260.9064,0
2015-02-02,8790.1,8797.1,1,7,6.9916,267.898,267.898,0
2015-02-03,8802.95,8761.25,-1,41.7,41.75004,309.648,309.648,0
2015-02-05,8708,8708,-1,0,0,309.648,309.648,0
2015-02-06,8707.1,8654.75,-1,52.35,52.41282,362.0608,362.0608,0
2015-02-09,8581.95,8525.65,-1,56.3,56.36756,418.4284,418.4284,0
2015-02-10,8527.6,8552.1,-1,-24.5,-24.5294,393.899,418.4284,-24.5294
2015-02-11,8596.1,8625.5,-1,-29.4,-29.43528,364.4637,418.4284,-53.96468
2015-02-12,8636,8721.05,-1,-85.05,-85.15206,279.3116,418.4284,-139.1167
2015-02-13,8759.85,8808.15,1,48.3,48.24204,327.5537,418.4284,-90.8747
2015-02-16,8861.95,8803.8,1,-58.15,-58.08022,269.4735,418.4284,-148.9549
2015-02-19,8866.5,8905.35,-1,-38.85,-38.89662,230.5768,418.4284,-187.8515
2015-02-20,8839.2,8833.6,-1,5.6,5.60672,236.1836,418.4284,-182.2448
2015-02-23,8847.7,8758.1,-1,89.6,89.70752,325.8911,418.4284,-92.5373
2015-02-24,8771.8,8770.4,1,-1.4,-1.39832,324.4928,418.4284,-93.93562
2015-02-25,8833.8,8771.75,1,-62.05,-61.97554,262.5172,418.4284,-155.9112
2015-02-27,8748.7,8852.45,1,103.75,103.6255,366.1427,418.4284,-52.28566
2015-02-28,8915.1,8908.8,1,-6.3,-6.29244,359.8503,418.4284,-58.5781
2015-03-02,8967.85,8959.3,1,-8.55,-8.53974,351.3105,418.4284,-67.11784
2015-03-04,9065.1,8919.8,-1,145.3,145.4744,496.7849,496.7849,0
2015-03-05,8952.05,8950,1,-2.05,-2.04754,494.7374,496.7849,-2.04754
2015-03-09,8811.75,8758.8,-1,52.95,53.01354,547.7509,547.7509,0
2015-03-10,8757.85,8716.6,1,-41.25,-41.2005,506.5504,547.7509,-41.2005
2015-03-11,8741.05,8695.15,1,-45.9,-45.84492,460.7055,547.7509,-87.04542
2015-03-12,8774.2,8782.55,1,8.35,8.33998,469.0455,547.7509,-78.70544
2015-03-17,8666.8,8732,-1,-65.2,-65.27824,403.7672,547.7509,-143.9837
2015-03-18,8697.7,8688.55,-1,9.15,9.16098,412.9282,547.7509,-134.8227
2015-03-19,8772.6,8634.9,1,-137.7,-137.5348,275.3934,547.7509,-272.3575
2015-03-20,8590.55,8569.95,-1,20.6,20.62472,296.0182,547.7509,-251.7327
2015-03-23,8581.2,8554.1,-1,27.1,27.13252,323.1507,547.7509,-224.6002
2015-03-24,8577,8541.7,1,-35.3,-35.25764,287.893,547.7509,-259.8579
2015-03-26,8473.95,8339.25,-1,134.7,134.8616,422.7547,547.7509,-124.9962
2015-03-27,8369.55,8346.9,-1,22.65,22.67718,445.4319,547.7509,-102.319
2015-03-30,8398.25,8492.15,1,93.9,93.78732,539.2192,547.7509,-8.53172
2015-03-31,8515.9,8494.65,1,-21.25,-21.2245,517.9947,547.7509,-29.75622
2015-04-01,8492.25,8581.9,1,89.65,89.54242,607.5371,607.5371,0
2015-04-08,8715.3,8716.55,1,1.25,1.2485,608.7856,608.7856,0
2015-04-09,8746.1,8780.8,1,34.7,34.65836,643.444,643.444,0
2015-04-10,8774.2,8781.45,1,7.25,7.2413,650.6853,650.6853,0
2015-04-13,8786.85,8832.9,1,46.05,45.99474,696.68,696.68,0
2015-04-16,8742.3,8711.75,-1,30.55,30.58666,727.2667,727.2667,0
2015-04-20,8572.4,8453.3,-1,119.1,119.2429,846.5096,846.5096,0
2015-04-22,8396.1,8440.6,-1,-44.5,-44.5534,801.9562,846.5096,-44.5534
2015-04-23,8477.5,8401.6,1,-75.9,-75.80892,726.1473,846.5096,-120.3623
2015-04-24,8345.4,8306.45,-1,38.95,38.99674,765.144,846.5096,-81.36558
2015-04-28,8235.55,8297.25,1,61.7,61.62596,826.77,846.5096,-19.73962
2015-04-29,8278.15,8239.95,1,-38.2,-38.15416,788.6158,846.5096,-57.89378
2015-04-30,8156.8,8172.35,-1,-15.55,-15.56866,773.0471,846.5096,-73.46244
2015-05-04,8278.95,8328.95,1,50,49.94,822.9871,846.5096,-23.52244
2015-05-05,8304.85,8326.2,-1,-21.35,-21.37562,801.6115,846.5096,-44.89806
2015-05-07,8033.2,8069.15,-1,-35.95,-35.99314,765.6184,846.5096,-80.8912
2015-05-11,8254.45,8328.3,1,73.85,73.76138,839.3798,846.5096,-7.12982
2015-05-12,8214,8118.6,-1,95.4,95.51448,934.8942,934.8942,0
2015-05-13,8196.35,8234.25,-1,-37.9,-37.94548,896.9488,934.8942,-37.94548
2015-05-14,8186.7,8229.25,1,42.55,42.49894,939.4477,939.4477,0
2015-05-15,8229.75,8260.65,-1,-30.9,-30.93708,908.5106,939.4477,-30.93708
2015-05-18,8316.5,8374.45,1,57.95,57.88046,966.3911,966.3911,0
2015-05-19,8339.05,8368.45,-1,-29.4,-29.43528,936.9558,966.3911,-29.43528
