date,entry_time,entry_price,exit_time,exit_price,signal,gross_pnl,net_pnl
2015-01-09,2015-01-09 09:35:00,8283.45,2015-01-09 15:15:00,8286.3,-1,-2.8500,-2.8534
2015-01-12,2015-01-12 09:40:00,8271.1,2015-01-12 15:15:00,8319.55,1,48.4500,48.3919
2015-01-13,2015-01-13 14:25:00,8318.05,2015-01-13 15:15:00,8304.9,-1,13.1500,13.1342
2015-01-14,2015-01-14 10:20:00,8291.4,2015-01-14 15:15:00,8273.05,-1,18.3500,18.3280
2015-01-15,2015-01-15 10:15:00,8403.55,2015-01-15 15:15:00,8510.45,-1,-106.9000,-107.0283
2015-01-19,2015-01-19 10:15:00,8561.25,2015-01-19 15:15:00,8550.85,1,-10.4000,-10.4125
2015-01-20,2015-01-20 09:30:00,8589,2015-01-20 15:15:00,8689.9,1,100.9000,100.7789
2015-01-21,2015-01-21 10:50:00,8708.25,2015-01-21 15:15:00,8731.3,-1,-23.0500,-23.0777
2015-01-22,2015-01-22 14:05:00,8736.45,2015-01-22 15:15:00,8759.95,-1,-23.5000,-23.5282
2015-01-23,2015-01-23 09:30:00,8862.8,2015-01-23 15:15:00,8834.9,1,-27.9000,-27.9335
2015-01-27,2015-01-27 09:40:00,8854.5,2015-01-27 15:15:00,8915.35,1,60.8500,60.7770
2015-01-28,2015-01-28 09:30:00,8915.8,2015-01-28 15:15:00,8920.25,1,4.4500,4.4447
2015-01-29,2015-01-29 09:45:00,8877.45,2015-01-29 15:15:00,8954.05,1,76.6000,76.5081
2015-01-30,2015-01-30 09:40:00,8941,2015-01-30 15:15:00,8807.95,-1,133.0500,132.8903
2015-02-02,2015-02-02 09:45:00,8790.1,2015-02-02 15:15:00,8797.1,1,7.0000,6.9916
2015-02-03,2015-02-03 09:55:00,8802.95,2015-02-03 15:15:00,8761.25,-1,41.7000,41.6500
2015-02-05,2015-02-05 15:10:00,8708,2015-02-05 15:15:00,8708,-1,0.0000,0.0000
2015-02-06,2015-02-06 09:30:00,8707.1,2015-02-06 15:15:00,8654.75,-1,52.3500,52.2872
2015-02-09,2015-02-09 09:30:00,8581.95,2015-02-09 15:15:00,8525.65,-1,56.3000,56.2324
2015-02-10,2015-02-10 13:55:00,8527.6,2015-02-10 15:15:00,8552.1,-1,-24.5000,-24.5294
2015-02-11,2015-02-11 09:45:00,8596.1,2015-02-11 15:15:00,8625.5,-1,-29.4000,-29.4353
2015-02-12,2015-02-12 09:30:00,8636,2015-02-12 15:15:00,8721.05,-1,-85.0500,-85.1521
2015-02-13,2015-02-13 09:30:00,8759.85,2015-02-13 15:15:00,8808.15,1,48.3000,48.2420
2015-02-16,2015-02-16 10:10:00,8861.95,2015-02-16 15:15:00,8803.8,1,-58.1500,-58.2198
2015-02-19,2015-02-19 10:35:00,8866.5,2015-02-19 15:15:00,8905.35,-1,-38.8500,-38.8966
2015-02-20,2015-02-20 09:30:00,8839.2,2015-02-20 15:15:00,8833.6,-1,5.6000,5.5933
2015-02-23,2015-02-23 09:30:00,8847.7,2015-02-23 15:15:00,8758.1,-1,89.6000,89.4925
2015-02-24,2015-02-24 09:40:00,8771.8,2015-02-24 15:15:00,8770.4,1,-1.4000,-1.4017
2015-02-25,2015-02-25 09:30:00,8833.8,2015-02-25 15:15:00,8771.75,1,-62.0500,-62.1245
2015-02-27,2015-02-27 11:25:00,8748.7,2015-02-27 15:15:00,8852.45,1,103.7500,103.6255
2015-02-28,2015-02-28 09:30:00,8915.1,2015-02-28 15:15:00,8908.8,1,-6.3000,-6.3076
2015-03-02,2015-03-02 09:35:00,8967.85,2015-03-02 15:15:00,8959.3,1,-8.5500,-8.5603
2015-03-04,2015-03-04 09:30:00,9065.1,2015-03-04 15:15:00,8919.8,-1,145.3000,145.1256
2015-03-05,2015-03-05 15:10:00,8952.05,2015-03-05 15:15:00,8950,1,-2.0500,-2.0525
2015-03-09,2015-03-09 09:35:00,8811.75,2015-03-09 15:15:00,8758.8,-1,52.9500,52.8865
2015-03-10,2015-03-10 10:30:00,8757.85,2015-03-10 15:15:00,8716.6,1,-41.2500,-41.2995
2015-03-11,2015-03-11 10:00:00,8741.05,2015-03-11 15:15:00,8695.15,1,-45.9000,-45.9551
2015-03-12,2015-03-12 15:05:00,8774.2,2015-03-12 15:15:00,8782.55,1,8.3500,8.3400
2015-03-17,2015-03-17 09:40:00,8666.8,2015-03-17 15:15:00,8732,-1,-65.2000,-65.2782
2015-03-18,2015-03-18 09:40:00,8697.7,2015-03-18 15:15:00,8688.55,-1,9.1500,9.1390
2015-03-19,2015-03-19 09:30:00,8772.6,2015-03-19 15:15:00,8634.9,1,-137.7000,-137.8652
2015-03-20,2015-03-20 10:40:00,8590.55,2015-03-20 15:15:00,8569.95,-1,20.6000,20.5753
2015-03-23,2015-03-23 09:30:00,8581.2,2015-03-23 15:15:00,8554.1,-1,27.1000,27.0675
2015-03-24,2015-03-24 09:45:00,8577,2015-03-24 15:15:00,8541.7,1,-35.3000,-35.3424
2015-03-26,2015-03-26 09:35:00,8473.95,2015-03-26 15:15:00,8339.25,-1,134.7000,134.5384
2015-03-27,2015-03-27 09:30:00,8369.55,2015-03-27 15:15:00,8346.9,-1,22.6500,22.6228
2015-03-30,2015-03-30 09:30:00,8398.25,2015-03-30 15:15:00,8492.15,1,93.9000,93.7873
2015-03-31,2015-03-31 09:30:00,8515.9,2015-03-31 15:15:00,8494.65,1,-21.2500,-21.2755
2015-04-01,2015-04-01 10:15:00,8492.25,2015-04-01 15:15:00,8581.9,1,89.6500,89.5424
2015-04-08,2015-04-08 09:35:00,8715.3,2015-04-08 15:15:00,8716.55,1,1.2500,1.2485
2015-04-09,2015-04-09 12:40:00,8746.1,2015-04-09 15:15:00,8780.8,1,34.7000,34.6584
2015-04-10,2015-04-10 09:40:00,8774.2,2015-04-10 15:15:00,8781.45,1,7.2500,7.2413
2015-04-13,2015-04-13 11:40:00,8786.85,2015-04-13 15:15:00,8832.9,1,46.0500,45.9947
2015-04-16,2015-04-16 09:30:00,8742.3,2015-04-16 15:15:00,8711.75,-1,30.5500,30.5133
2015-04-20,2015-04-20 09:30:00,8572.4,2015-04-20 15:15:00,8453.3,-1,119.1000,118.9571
2015-04-22,2015-04-22 09:30:00,8396.1,2015-04-22 15:15:00,8440.6,-1,-44.5000,-44.5534
